,Procedure,Outcome,Features,Model,Rep,Fold,FPR,TPR,Thresholds
48,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02009020090200902,0.08425720620842572,0.7695381538065774
49,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02050020500205002,0.08425720620842572,0.7687521928110724
50,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02050020500205002,0.08647450110864745,0.7686777566288778
51,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02132021320213202,0.08647450110864745,0.7677125906915094
52,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02132021320213202,0.08869179600886919,0.7667704504110215
53,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.021730217302173022,0.08869179600886919,0.7663862740559141
54,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.021730217302173022,0.09312638580931264,0.7643842401664472
55,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02214022140221402,0.09312638580931264,0.7642970560304555
56,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02214022140221402,0.0975609756097561,0.7626766766439562
57,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.022550225502255022,0.0975609756097561,0.7624388146210034
58,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.022550225502255022,0.09977827050997783,0.7621370778490354
59,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.024190241902419023,0.09977827050997783,0.7603775138773734
60,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.024190241902419023,0.10199556541019955,0.7597641834447678
61,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.025830258302583026,0.10199556541019955,0.7582017263718863
62,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.025830258302583026,0.10421286031042129,0.7581775384703965
63,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.026240262402624025,0.10421286031042129,0.758005782036695
64,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.026240262402624025,0.10643015521064302,0.7545759241344806
65,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.026650266502665027,0.10643015521064302,0.7545455724409469
66,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.026650266502665027,0.10864745011086474,0.7526992454675959
67,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02706027060270603,0.10864745011086474,0.7499764497664886
68,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02706027060270603,0.1130820399113082,0.7486253030320809
69,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02788027880278803,0.1130820399113082,0.7484679011216309
70,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02788027880278803,0.11751662971175167,0.7481844817941171
71,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02911029110291103,0.11751662971175167,0.7464957525979047
72,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02911029110291103,0.1197339246119734,0.7463059340758438
73,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02952029520295203,0.1197339246119734,0.745671749496044
74,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.02952029520295203,0.12195121951219512,0.745593219257891
75,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03075030750307503,0.12195121951219512,0.7444457228013965
76,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03075030750307503,0.12638580931263857,0.7435993899821756
77,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.033210332103321034,0.12638580931263857,0.7403902327082084
78,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.033210332103321034,0.1286031042128603,0.7389980999258833
79,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03403034030340303,0.1286031042128603,0.7373660758789777
80,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03403034030340303,0.13082039911308205,0.7372889603278135
81,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03444034440344403,0.13082039911308205,0.7369163172687552
82,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03444034440344403,0.13303769401330376,0.736889129931529
83,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.034850348503485035,0.13303769401330376,0.736682144090438
84,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.034850348503485035,0.13747228381374724,0.735418370603076
85,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03608036080360803,0.13747228381374724,0.7350495611187021
86,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03608036080360803,0.14634146341463414,0.7339442674886686
87,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.036490364903649035,0.14634146341463414,0.7336681928848648
88,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.036490364903649035,0.15077605321507762,0.7319119944438919
89,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03731037310373104,0.15077605321507762,0.7313677623238558
90,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03731037310373104,0.15521064301552107,0.7307138333229183
91,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03854038540385404,0.15521064301552107,0.7300713573008063
92,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03854038540385404,0.1574279379157428,0.7297086452347494
93,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03895038950389504,0.1574279379157428,0.7296294553975433
94,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03895038950389504,0.16186252771618626,0.7287792711162503
95,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03936039360393604,0.16186252771618626,0.7285862588989335
96,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03936039360393604,0.164079822616408,0.7283188791580557
97,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03977039770397704,0.164079822616408,0.7272808191641401
98,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.03977039770397704,0.16851441241685144,0.7268134599078725
99,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04018040180401804,0.16851441241685144,0.7263928660292647
100,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04018040180401804,0.1729490022172949,0.7255410301891628
101,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04100041000410004,0.1729490022172949,0.7247850486178344
102,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04100041000410004,0.17516629711751663,0.7240462033628371
103,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04223042230422304,0.17516629711751663,0.7228618287767152
104,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04223042230422304,0.17738359201773837,0.7227102033992923
105,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.043460434604346045,0.17738359201773837,0.7214270115748183
106,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.043460434604346045,0.17960088691796008,0.7211945136760024
107,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04428044280442804,0.17960088691796008,0.7208619798503612
108,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04428044280442804,0.18181818181818182,0.7206417440128935
109,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04469044690446904,0.18181818181818182,0.7204636019155134
110,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04469044690446904,0.18403547671840353,0.720358479615452
111,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04797047970479705,0.18403547671840353,0.7176038594556509
112,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.04797047970479705,0.18625277161862527,0.7175573393269379
113,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.05166051660516605,0.18625277161862527,0.7155916437764355
114,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.05166051660516605,0.188470066518847,0.7150995719892128
115,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.05248052480524805,0.188470066518847,0.7150286428119497
116,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.05248052480524805,0.1951219512195122,0.7145895470607038
117,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.05453054530545305,0.1951219512195122,0.7127401379961893
