Procedure,Outcome,Features,Model,AUC_mean,AUC_std,Acc_mean,Acc_std,loss_mean,loss_std,sn_mean,sp_mean,sn_std,sp_std,n_mean,label_n_mean,label_n_std,n_std,count,ci_auc,ci_sn,ci_sp
Decompression,High_Health_Utilizer,Health_Util_Features,ASA,0.62,0.01226466185679853,0.7969983108478667,0.0013356575323533219,0.15,0.0013009524752212868,0.0049261083743842365,0.9955542820976216,0.0034832846363869337,0.0014975775382657112,10128,2030,0,0,50,0,0,0
Decompression,High_Health_Utilizer,Health_Util_Features,Dummy,0.5,0,0.7995655490963158,4.8972711217873784e-5,0.16,2.9341620739990173e-5,0,1,0,0,10128,2030,0,0,50,0,0,0
Decompression,High_Health_Utilizer,Health_Util_Features,ENet,0.764,0.014166793218924039,0.7126387432513132,0.009679230436551818,0.19,0.004004313996693788,0.6644827586206896,0.7247106124036328,0.02535034481131692,0.010542424590553079,10128,2030,0,0,50,0,0.01,0
Decompression,High_Health_Utilizer,Health_Util_Features,LinSVC_Kernel,0.765,0.013550742841349479,0.7108813327970945,0.01004934957430526,0.21,0.002383285665293923,0.6676354679802956,0.721722531054835,0.028768736287425455,0.013888857848744987,10128,2030,0,0,50,0,0.01,0
Decompression,High_Health_Utilizer,Health_Util_Features,LinearSVC,0.764,0.013714176861002835,0.7170423116765993,0.009519324948243767,0.21,0.001805170391827538,0.6549261083743843,0.7326137152182036,0.024687026817256923,0.010252028967935228,10128,2030,0,0,50,0,0.01,0
Decompression,High_Health_Utilizer,Health_Util_Features,NN,0.761,0.01269918279127971,0.7044138105858408,0.017782407275498572,0.19,0.008440918621264283,0.6705418719211823,0.7129047575473353,0.038446967013196,0.028159016407727725,10128,2030,0,0,50,0,0.01,0.01
Decompression,High_Health_Utilizer,Health_Util_Features,RF,0.766,0.01357717997128563,0.7298483224257493,0.01513318720675281,0.18,0.006130126923374472,0.6366995073891626,0.7531987433181586,0.02865593317464935,0.021539028062096784,10128,2030,0,0,50,0,0.01,0.01
Decompression,High_Health_Utilizer,Health_Util_Features,XGB,0.764,0.012698033605317648,0.7092127576078876,0.013759525079878153,0.19,0.005094292852581029,0.6742857142857143,0.7179686134559513,0.026182908872958016,0.020188950320714223,10128,2030,0,0,50,0,0.01,0.01
