Procedure,Outcome,Features,Model,AUC_mean,AUC_std,Acc_mean,Acc_std,loss_mean,loss_std,sn_mean,sp_mean,sn_std,sp_std,n_mean,label_n_mean,label_n_std,n_std,count,ci_auc,ci_sn,ci_sp
Fusion,High_Health_Utilizer,Health_Util_Features,LinSVC_Kernel,0.714,0.025084373561135163,0.6226989619377162,0.07437503338669041,0.22,0.008871836124185874,0.6846251526251527,0.6112198303430167,0.09972702611743962,0.10182458540830457,2890,451,0,0,50,0.01,0.03,0.03
Fusion,High_Health_Utilizer,Health_Util_Features,RF,0.711,0.02493613002554758,0.6546712802768166,0.06414682431046302,0.19,0.014042451155433979,0.6132087912087912,0.6623087992728987,0.12638073379003772,0.09680050334589906,2890,451,0,0,50,0.01,0.04,0.03
Fusion,High_Health_Utilizer,Health_Util_Features,LinearSVC,0.709,0.022557100183931266,0.6479930795847751,0.017386309176996972,0.22,0.003583318550430438,0.6412698412698412,0.6492460531187936,0.04924315344898647,0.021810866394461104,2890,451,0,0,50,0.01,0.01,0.01
Fusion,High_Health_Utilizer,Health_Util_Features,ENet,0.706,0.027679912543953133,0.33027681660899655,0.02917350752697283,0.26,0.0019562348072475594,0.9580879120879121,0.21418175850809573,0.024872864064363856,0.036631202324701455,2890,451,0,0,50,0.01,0.01,0.01
Fusion,High_Health_Utilizer,Health_Util_Features,XGB,0.7,0.025681585783573425,0.6746712802768166,0.0639321598825058,0.19,0.021281936418341214,0.5551941391941392,0.6967610327532231,0.15559866575470985,0.10162627488387803,2890,451,0,0,50,0.01,0.04,0.03
Fusion,High_Health_Utilizer,Health_Util_Features,NN,0.693,0.028612073205365567,0.6542560553633218,0.04272806729650298,0.21,0.017194774305784238,0.6117142857142858,0.6621144848015619,0.10191012399509616,0.06476908404252335,2890,451,0,0,50,0.01,0.03,0.02
Fusion,High_Health_Utilizer,Health_Util_Features,ASA,0.598,0.028136543727664682,0.8439446366782006,6.990675048803885e-4,0.13,0.0015433144622374894,0,1,0,0,2890,451,0,0,50,0.01,0,0
Fusion,High_Health_Utilizer,Health_Util_Features,Dummy,0.5,0,0.8439446366782006,6.990675048803885e-4,0.13,4.812892304902184e-4,0,1,0,0,2890,451,0,0,50,0,0,0
