Procedure,Outcome,Features,Model,AUC_mean,AUC_std,Acc_mean,Acc_std,loss_mean,loss_std,sn_mean,sp_mean,sn_std,sp_std,n_mean,label_n_mean,label_n_std,n_std,count,ci_auc,ci_sn,ci_sp
Decompression,High_Health_Utilizer,Health_Util_Features,LinearSVC,0.762,0.01329295920302192,0.7156106077778996,0.009445894960468937,0.21,0.0018579498712190357,0.6539408866995073,0.7310700478118638,0.02568975131939773,0.009984906154168803,10128,2030,0,0,50,0,0.01,0
Decompression,High_Health_Utilizer,Health_Util_Features,RF,0.761,0.01392203059375003,0.73459806710297,0.01907987348526313,0.18,0.0073483717912203005,0.6192610837438424,0.763511480185147,0.03528869743572529,0.0287070849333441,10128,2030,0,0,50,0,0.01,0.01
Decompression,High_Health_Utilizer,Health_Util_Features,LinSVC_Kernel,0.76,0.014049127772493295,0.7099633310177568,0.011739042664078207,0.21,0.0037909591644720796,0.6650246305418719,0.7212291385476479,0.02805226098239937,0.015491622597916511,10128,2030,0,0,50,0,0.01,0
Decompression,High_Health_Utilizer,Health_Util_Features,XGB,0.758,0.014942445804612034,0.712560530388895,0.022352701651893188,0.19,0.010373933083643936,0.6508374384236453,0.7280339715873996,0.045537787218223984,0.03627444858997932,10128,2030,0,0,50,0,0.01,0.01
Decompression,High_Health_Utilizer,Health_Util_Features,NN,0.754,0.015149610440778916,0.7049963170146125,0.018677972505971623,0.19,0.008835231985048125,0.6627093596059114,0.7155966569822859,0.03728907924734745,0.02809855884238424,10128,2030,0,0,50,0,0.01,0.01
Decompression,High_Health_Utilizer,Health_Util_Features,ENet,0.747,0.016155923648953775,0.5865666922598808,0.06624862840048305,0.24,0.022818776023772365,0.800295566502463,0.5329922906229269,0.07087931844890394,0.09983883020474245,10128,2030,0,0,50,0,0.02,0.03
Decompression,High_Health_Utilizer,Health_Util_Features,ASA,0.62,0.01226466185679853,0.7969983108478667,0.0013356575323533219,0.15,0.0013009524752212868,0.0049261083743842365,0.9955542820976216,0.0034832846363869337,0.0014975775382657112,10128,2030,0,0,50,0,0,0
Decompression,High_Health_Utilizer,Health_Util_Features,Dummy,0.5,0,0.7995655490963158,4.8972711217873784e-5,0.16,2.9341620739990173e-5,0,1,0,0,10128,2030,0,0,50,0,0,0
